,date,n_deaths,n_wounded_mild,n_wounded_severe,n_victims,n_vehicles,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,precipitation_sum,rain_sum,precipitation_hours
0,2010-01-01,0.0,7.0,0.0,7.0,14.0,13.8,8.9,11.1,1.4,8.0,5.1,2010-01-01T08:15,2010-01-01T17:34,0.0,0.0,0.0
1,2010-01-02,0.0,21.0,0.0,21.0,24.0,11.7,5.2,8.4,3.0,10.0,6.0,2010-01-02T08:15,2010-01-02T17:34,0.0,0.0,0.0
2,2010-01-03,0.0,16.0,0.0,16.0,29.0,11.8,7.2,9.4,5.4,10.8,7.7,2010-01-03T08:15,2010-01-03T17:35,0.0,0.0,0.0
3,2010-01-04,0.0,25.0,1.0,26.0,45.0,10.7,7.3,9.2,5.2,8.8,7.1,2010-01-04T08:15,2010-01-04T17:36,3.6,3.6,4.0
4,2010-01-05,0.0,36.0,0.0,36.0,57.0,12.1,9.9,10.7,6.9,10.2,8.4,2010-01-05T08:15,2010-01-05T17:37,6.9,6.9,14.0
5,2010-01-06,0.0,23.0,0.0,23.0,39.0,10.5,6.4,8.5,3.6,8.8,5.8,2010-01-06T08:15,2010-01-06T17:38,2.2,2.2,6.0
6,2010-01-07,0.0,19.0,1.0,20.0,30.0,7.0,4.8,5.9,-2.6,3.2,1.0,2010-01-07T08:15,2010-01-07T17:39,20.3,18.5,15.0
7,2010-01-08,0.0,35.0,0.0,35.0,58.0,6.8,4.0,5.3,-1.8,3.0,1.0,2010-01-08T08:15,2010-01-08T17:40,10.1,8.5,20.0
8,2010-01-09,0.0,21.0,0.0,21.0,39.0,6.2,1.9,3.9,-1.6,2.2,0.2,2010-01-09T08:15,2010-01-09T17:41,0.1,0.1,1.0
9,2010-01-10,0.0,15.0,0.0,15.0,30.0,6.5,1.5,3.8,-3.0,3.5,0.2,2010-01-10T08:15,2010-01-10T17:42,0.0,0.0,0.0
10,2010-01-11,0.0,37.0,3.0,40.0,69.0,8.2,3.1,5.2,0.3,5.4,2.3,2010-01-11T08:14,2010-01-11T17:43,0.0,0.0,0.0
11,2010-01-12,0.0,32.0,0.0,32.0,50.0,8.2,0.7,4.6,-2.5,4.8,1.3,2010-01-12T08:14,2010-01-12T17:44,4.6,4.6,6.0
12,2010-01-13,0.0,26.0,1.0,27.0,46.0,12.1,6.1,8.7,3.2,9.9,6.2,2010-01-13T08:14,2010-01-13T17:45,1.6,1.6,4.0
13,2010-01-14,0.0,30.0,1.0,31.0,53.0,14.3,9.5,11.4,6.5,11.6,8.4,2010-01-14T08:13,2010-01-14T17:46,6.3,6.3,17.0
14,2010-01-15,1.0,41.0,2.0,44.0,81.0,14.6,7.8,10.8,5.8,12.8,8.9,2010-01-15T08:13,2010-01-15T17:48,0.0,0.0,0.0
15,2010-01-16,0.0,29.0,4.0,33.0,62.0,13.1,5.2,9.1,3.2,10.7,7.2,2010-01-16T08:13,2010-01-16T17:49,0.1,0.1,1.0
16,2010-01-17,0.0,13.0,0.0,13.0,29.0,12.7,9.0,11.1,7.3,12.4,10.1,2010-01-17T08:12,2010-01-17T17:50,2.0,2.0,7.0
17,2010-01-18,0.0,23.0,0.0,23.0,40.0,12.4,9.8,11.6,8.6,11.9,10.9,2010-01-18T08:11,2010-01-18T17:51,4.1,4.1,12.0
18,2010-01-19,0.0,39.0,1.0,40.0,57.0,11.3,9.5,10.6,8.3,10.7,9.6,2010-01-19T08:11,2010-01-19T17:52,1.8,1.8,6.0
19,2010-01-20,0.0,36.0,3.0,39.0,67.0,13.7,9.1,11.4,7.6,12.6,10.2,2010-01-20T08:10,2010-01-20T17:53,0.8,0.8,5.0
20,2010-01-21,1.0,32.0,0.0,33.0,48.0,13.6,7.5,10.5,5.3,11.7,9.0,2010-01-21T08:10,2010-01-21T17:55,0.0,0.0,0.0
21,2010-01-22,0.0,38.0,2.0,40.0,60.0,14.2,5.4,9.0,3.2,12.4,7.0,2010-01-22T08:09,2010-01-22T17:56,0.0,0.0,0.0
22,2010-01-23,0.0,16.0,0.0,16.0,38.0,12.5,6.1,9.4,3.8,10.1,7.1,2010-01-23T08:08,2010-01-23T17:57,0.0,0.0,0.0
23,2010-01-24,1.0,20.0,2.0,23.0,29.0,12.5,9.8,10.9,7.6,11.1,9.2,2010-01-24T08:08,2010-01-24T17:58,3.4,3.4,10.0
24,2010-01-25,0.0,21.0,0.0,21.0,37.0,11.6,8.7,10.0,4.3,9.7,7.6,2010-01-25T08:07,2010-01-25T17:59,0.5,0.5,2.0
25,2010-01-26,0.0,21.0,1.0,22.0,43.0,12.1,7.4,8.9,1.9,9.0,4.8,2010-01-26T08:06,2010-01-26T18:01,0.0,0.0,0.0
26,2010-01-27,0.0,35.0,1.0,36.0,59.0,12.0,4.8,7.6,0.5,9.5,3.9,2010-01-27T08:05,2010-01-27T18:02,1.5,1.5,5.0
27,2010-01-28,0.0,36.0,0.0,36.0,61.0,11.4,2.2,6.8,-0.9,8.9,3.9,2010-01-28T08:04,2010-01-28T18:03,0.0,0.0,0.0
28,2010-01-29,0.0,36.0,0.0,36.0,72.0,11.8,3.3,7.6,0.4,9.5,5.2,2010-01-29T08:03,2010-01-29T18:04,0.0,0.0,0.0
